2021-12-26,29
2022-01-02,36
2022-01-09,37
2022-01-16,41
2022-01-23,46
2022-01-30,45
2022-02-06,53
2022-02-13,58
2022-02-20,52
2022-02-27,47
2022-03-06,32
2022-03-13,38
2022-03-20,90
2022-03-27,70
2022-04-03,62
2022-04-10,55
2022-04-17,55
2022-04-24,54
2022-05-01,59
2022-05-08,65
2022-05-15,72
2022-05-22,61
2022-05-29,77
2022-06-05,100
2022-06-12,98
2022-06-19,84
2022-06-26,68
2022-07-03,79
2022-07-10,74
2022-07-17,68
2022-07-24,54
2022-07-31,59
2022-08-07,57
2022-08-14,56
2022-08-21,55
2022-08-28,53
2022-09-04,55
2022-09-11,52
2022-09-18,51
2022-09-25,57
2022-10-02,68
2022-10-09,57
2022-10-16,55
2022-10-23,49
2022-10-30,49
2022-11-06,44
2022-11-13,49
2022-11-20,44
2022-11-27,48
2022-12-04,55
2022-12-11,46
2022-12-18,42
