2021-12-26,23
2022-01-02,21
2022-01-09,35
2022-01-16,34
2022-01-23,56
2022-01-30,51
2022-02-06,75
2022-02-13,72
2022-02-20,74
2022-02-27,54
2022-03-06,56
2022-03-13,49
2022-03-20,51
2022-03-27,70
2022-04-03,81
2022-04-10,67
2022-04-17,88
2022-04-24,89
2022-05-01,100
2022-05-08,67
2022-05-15,46
2022-05-22,66
2022-05-29,39
2022-06-05,36
2022-06-12,39
2022-06-19,44
2022-06-26,25
2022-07-03,38
2022-07-10,30
2022-07-17,36
2022-07-24,37
2022-07-31,34
2022-08-07,25
2022-08-14,23
2022-08-21,32
2022-08-28,33
2022-09-04,39
2022-09-11,58
2022-09-18,72
2022-09-25,64
2022-10-02,72
2022-10-09,53
2022-10-16,39
2022-10-23,57
2022-10-30,59
2022-11-06,60
2022-11-13,65
2022-11-20,58
2022-11-27,72
2022-12-04,80
2022-12-11,76
2022-12-18,36
