2021-12-26,43
2022-01-02,85
2022-01-09,100
2022-01-16,73
2022-01-23,79
2022-01-30,78
2022-02-06,63
2022-02-13,61
2022-02-20,52
2022-02-27,40
2022-03-06,45
2022-03-13,53
2022-03-20,43
2022-03-27,66
2022-04-03,49
2022-04-10,47
2022-04-17,44
2022-04-24,51
2022-05-01,58
2022-05-08,48
2022-05-15,34
2022-05-22,55
2022-05-29,88
2022-06-05,66
2022-06-12,26
2022-06-19,48
2022-06-26,30
2022-07-03,23
2022-07-10,33
2022-07-17,29
2022-07-24,24
2022-07-31,34
2022-08-07,31
2022-08-14,21
2022-08-21,29
2022-08-28,17
2022-09-04,27
2022-09-11,23
2022-09-18,20
2022-09-25,17
2022-10-02,20
2022-10-09,19
2022-10-16,22
2022-10-23,13
2022-10-30,20
2022-11-06,9
2022-11-13,15
2022-11-20,9
2022-11-27,14
2022-12-04,17
2022-12-11,12
2022-12-18,7
