2021-12-26,68
2022-01-02,88
2022-01-09,50
2022-01-16,100
2022-01-23,42
2022-01-30,89
2022-02-06,35
2022-02-13,25
2022-02-20,26
2022-02-27,25
2022-03-06,23
2022-03-13,25
2022-03-20,26
2022-03-27,20
2022-04-03,21
2022-04-10,21
2022-04-17,20
2022-04-24,21
2022-05-01,19
2022-05-08,22
2022-05-15,25
2022-05-22,30
2022-05-29,34
2022-06-05,23
2022-06-12,25
2022-06-19,29
2022-06-26,28
2022-07-03,35
2022-07-10,24
2022-07-17,32
2022-07-24,25
2022-07-31,25
2022-08-07,34
2022-08-14,25
2022-08-21,25
2022-08-28,31
2022-09-04,35
2022-09-11,22
2022-09-18,24
2022-09-25,24
2022-10-02,24
2022-10-09,22
2022-10-16,24
2022-10-23,25
2022-10-30,24
2022-11-06,22
2022-11-13,25
2022-11-20,40
2022-11-27,25
2022-12-04,27
2022-12-11,27
2022-12-18,43
